#host_mono_ns,byte_offset,bytes
173096837792444,22527,42
173096838857757,22569,42
173096839923330,22611,42
173096839994267,22653,42
173096841012965,22695,42
173096842077705,22737,42
173096843134684,22779,42
173096844230361,22821,42
173096845288798,22863,42
173096846392340,22905,42
173096847429371,22947,42
173096848487861,22989,42
173096849569267,23031,42
173096850654423,23073,42
173096851723382,23115,42
173096852794475,23157,42
173096853862444,23199,42
173096854935673,23241,42
173096856007548,23283,42
173096856074736,23325,20
173096857088538,23345,42
173096857154736,23387,42
173096858149996,23429,42
173096859217444,23471,42
173096860459475,23513,42
173096861373330,23555,42
173096862426767,23597,42
173096863511611,23639,42
173096864659527,23681,42
173096865731975,23723,42
173096866802965,23765,42
173096867869788,23807,42
173096868941611,23849,42
173096870181975,23891,42
173096871098277,23933,42
173096872166194,23975,42
173096872239944,24017,42
173096873225882,24059,42
173096874321350,24101,42
173096875393434,24143,42
173096876454632,24185,42
173096877540100,24227,42
173096878596350,24269,42
173096879710205,24311,42
173096880799215,24353,42
173096881835569,24395,42
173096882892236,24437,42
173096883968121,24479,42
173096885045205,24521,42
173096886122288,24563,42
173096887184944,24605,42
173096888253642,24647,42
173096888323330,24689,42
173096889327861,24731,20
173096889395621,24751,42
173096890401871,24793,42
173096891466350,24835,42
173096892532705,24877,42
173096893605986,24919,42
173096894675517,24961,42
173096895758590,25003,42
173096896821090,25045,42
173096897886142,25087,42
173096898959059,25129,42
173096900377288,25171,42
173096901113746,25213,42
173096902170934,25255,42
173096903242652,25297,42
173096904309059,25339,42
173096904376455,25381,42
173096905379059,25423,42
173096906449371,25465,42
173096907517288,25507,42
173096908592548,25549,42
173096909656715,25591,42
173096910752340,25633,42
173096911800309,25675,42
173096912884007,25717,42
173096913950621,25759,42
173096915027392,25801,42
173096916084371,25843,42
173096917166402,25885,42
173096918236090,25927,42
173096919303694,25969,42
173096920404059,26011,42
173096921458069,26053,42
173096921530986,26095,42
173096922523798,26137,42
173096922591871,26179,20
173096923588850,26199,42
173096924657548,26241,42
173096925729944,26283,42
173096926805725,26325,42
173096927873798,26367,42
173096928956298,26409,42
173096930181715,26451,42
173096931103955,26493,42
173096932169163,26535,42
173096933236767,26577,42
173096934306611,26619,42
173096935378434,26661,42
173096936455465,26703,42
173096937519059,26745,42
173096937587132,26787,42
173096938588694,26829,42
173096939667184,26871,42
173096940802392,26913,42
173096941834580,26955,42
173096942904580,26997,42
173096943959996,27039,42
173096945052496,27081,42
173096946088017,27123,42
173096947137652,27165,42
173096948214215,27207,42
173096949261923,27249,42
173096950395986,27291,42
173096951438069,27333,42
173096952490152,27375,42
173096953558173,27417,42
173096954627496,27459,42
173096954697340,27501,42
173096955713694,27543,42
173096956774475,27585,20
173096956842965,27605,42
173096957846194,27647,42
173096958915569,27689,42
173096959986975,27731,42
173096961080569,27773,42
173096962142965,27815,42
173096963211975,27857,42
173096964281142,27899,42
173096965353538,27941,42
173096966422132,27983,42
173096967492600,28025,42
173096968560725,28067,42
173096969646871,28109,42
173096970730986,28151,42
173096971786090,28193,42
173096971854267,28235,42
173096972852132,28277,42
173096973927496,28319,42
173096974994892,28361,42
173096976064527,28403,42
173096977141246,28445,42
173096978216090,28487,42
173096979278173,28529,42
173096980370257,28571,42
173096981473746,28613,42
173096982505048,28655,42
173096983577288,28697,42
173096984641038,28739,42
173096985708486,28781,42
173096986779267,28823,42
173096987846715,28865,42
173096987916090,28907,42
173096988922340,28949,42
173096989991298,28991,20
173096990191142,29011,42
173096991084684,29053,42
173096992140048,29095,42
173096993209632,29137,42
