#seq,cam,ts_ns,file
475,2,173099149630000,c2_000475.gray
477,0,173099163974000,c0_000477.gray
477,2,173099163971000,c2_000477.gray
481,0,173099182960000,c0_000481.gray
481,2,173099182963000,c2_000481.gray
483,0,173099197305000,c0_000483.gray
483,2,173099197308000,c2_000483.gray
490,0,173099216285000,c0_000490.gray
490,2,173099216302000,c2_000490.gray
496,0,173099230624000,c0_000496.gray
496,2,173099230651000,c2_000496.gray
501,0,173099249628000,c0_000501.gray
501,2,173099249665000,c2_000501.gray
503,0,173099263971000,c0_000503.gray
503,2,173099264009000,c2_000503.gray
507,0,173099282965000,c0_000507.gray
507,2,173099283002000,c2_000507.gray
509,0,173099297302000,c0_000509.gray
509,2,173099297342000,c2_000509.gray
513,0,173099316298000,c0_000513.gray
513,2,173099316336000,c2_000513.gray
515,0,173099330641000,c0_000515.gray
515,2,173099330680000,c2_000515.gray
519,0,173099349632000,c0_000519.gray
519,2,173099349669000,c2_000519.gray
521,0,173099363971000,c0_000521.gray
521,2,173099364007000,c2_000521.gray
525,0,173099382971000,c0_000525.gray
525,2,173099383005000,c2_000525.gray
527,0,173099397304000,c0_000527.gray
527,2,173099397341000,c2_000527.gray
531,2,173099416338000,c2_000531.gray
532,0,173099416303000,c0_000532.gray
534,0,173099430668000,c0_000534.gray
534,2,173099430706000,c2_000534.gray
538,0,173099449637000,c0_000538.gray
538,2,173099449672000,c2_000538.gray
541,0,173099463970000,c0_000541.gray
541,2,173099464007000,c2_000541.gray
545,0,173099482964000,c0_000545.gray
545,2,173099482991000,c2_000545.gray
547,0,173099497305000,c0_000547.gray
547,2,173099497342000,c2_000547.gray
552,0,173099516299000,c0_000552.gray
552,2,173099516333000,c2_000552.gray
554,0,173099530639000,c0_000554.gray
554,2,173099530677000,c2_000554.gray
558,0,173099549632000,c0_000558.gray
558,2,173099549669000,c2_000558.gray
561,0,173099563971000,c0_000561.gray
561,2,173099564008000,c2_000561.gray
565,0,173099582966000,c0_000565.gray
565,2,173099583002000,c2_000565.gray
567,0,173099597304000,c0_000567.gray
567,2,173099597340000,c2_000567.gray
571,0,173099616297000,c0_000571.gray
571,2,173099616333000,c2_000571.gray
574,0,173099630637000,c0_000574.gray
574,2,173099630675000,c2_000574.gray
578,0,173099649640000,c0_000578.gray
578,2,173099649675000,c2_000578.gray
581,0,173099663972000,c0_000581.gray
581,2,173099664006000,c2_000581.gray
585,0,173099682963000,c0_000585.gray
585,2,173099682989000,c2_000585.gray
587,0,173099697306000,c0_000587.gray
587,2,173099697343000,c2_000587.gray
592,0,173099716302000,c0_000592.gray
592,2,173099716337000,c2_000592.gray
594,0,173099730639000,c0_000594.gray
594,2,173099730677000,c2_000594.gray
599,0,173099749655000,c0_000599.gray
599,2,173099749679000,c2_000599.gray
601,0,173099763974000,c0_000601.gray
601,2,173099764012000,c2_000601.gray
605,0,173099782963000,c0_000605.gray
605,2,173099782988000,c2_000605.gray
607,0,173099797308000,c0_000607.gray
607,2,173099797347000,c2_000607.gray
612,0,173099816299000,c0_000612.gray
612,2,173099816324000,c2_000612.gray
614,0,173099830641000,c0_000614.gray
614,2,173099830679000,c2_000614.gray
619,0,173099849636000,c0_000619.gray
619,2,173099849659000,c2_000619.gray
621,0,173099863974000,c0_000621.gray
621,2,173099864010000,c2_000621.gray
625,0,173099882964000,c0_000625.gray
625,2,173099882988000,c2_000625.gray
628,0,173099897307000,c0_000628.gray
628,2,173099897354000,c2_000628.gray
632,0,173099916299000,c0_000632.gray
632,2,173099916326000,c2_000632.gray
