#host_mono_ns,slot,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w
6902869591115,17,-0.19844155,0.154834732,-0.360844105,-0.125572592,0.875660241,-0.390402913,-0.25502193
6902902925542,18,-0.198474422,0.15483281,-0.360897839,-0.125365317,0.875613213,-0.390401065,-0.255288243
6902936264553,19,-0.198577464,0.154817745,-0.360998422,-0.125876114,0.875097573,-0.390782446,-0.256219625
6902986278719,20,-0.198585778,0.154814497,-0.361091763,-0.126056865,0.874717534,-0.390831351,-0.257351488
6903386260542,0,-0.199934572,0.154696286,-0.362481952,-0.127881065,0.874235988,-0.392013282,-0.256287813
6903419598407,1,-0.200216457,0.154709235,-0.362728357,-0.128218308,0.874154806,-0.392484665,-0.255674124
6903452993719,2,-0.20038259,0.154737145,-0.362880617,-0.128338933,0.874150634,-0.3926166,-0.255425066
6903486271532,3,-0.200485677,0.154799581,-0.363097578,-0.128417283,0.873886168,-0.393144041,-0.255479395
6903519603615,4,-0.200519517,0.154838517,-0.363262415,-0.128419146,0.873612344,-0.393689662,-0.255574673
6903552926688,5,-0.200524315,0.154850617,-0.36327225,-0.128357455,0.873671651,-0.393633872,-0.255488962
6903586257729,6,-0.200564355,0.154840842,-0.36318323,-0.128330246,0.87374264,-0.393385738,-0.255641967
6903619596271,7,-0.200710744,0.154831514,-0.363152087,-0.128885016,0.873380661,-0.393595427,-0.256276309
6903652940959,8,-0.200928301,0.154836491,-0.363198131,-0.129401311,0.873171091,-0.393982887,-0.256134808
6903686409032,9,-0.201115191,0.15484482,-0.363307714,-0.129980251,0.872922421,-0.394156784,-0.256421626
6903719597157,10,-0.201217309,0.154834419,-0.363511235,-0.129833221,0.872834206,-0.394674778,-0.255999118
6903752931167,11,-0.20133853,0.154808387,-0.363651484,-0.130158365,0.872493446,-0.395060778,-0.256400049
6903786278406,12,-0.201454028,0.154787138,-0.363719523,-0.130321637,0.872453332,-0.395336628,-0.256028116
6903836275698,13,-0.201463521,0.154758349,-0.363707155,-0.130284995,0.872441411,-0.395359665,-0.256051898
6903869596584,14,-0.201507494,0.154716551,-0.363692284,-0.130657196,0.87227875,-0.395583212,-0.256071121
6903902929240,15,-0.201495215,0.154676542,-0.363649249,-0.131012052,0.872092485,-0.395698398,-0.256346017
6903936270906,16,-0.201493874,0.15470615,-0.363742858,-0.131040573,0.8718943,-0.396055996,-0.256453395
