USER           PID  PPID     VSZ    RSS WCHAN            ADDR S NAME                       
root           313     2       0      0 rescuer_thread      0 S [bond0]
root           314     2       0      0 rescuer_thread      0 S [sharedmem_qmi_w]
root           315     2       0      0 rescuer_thread      0 S [qmi_hndl0000000]
root           316     2       0      0 worker_thread       0 S [kworker/u16:3]
root           317     2       0      0 rescuer_thread      0 S [k_sm_usb]
root           321     2       0      0 rescuer_thread      0 S [uether]
root           322     2       0      0 rescuer_thread      0 S [k_ipa_usb]
root           326     2       0      0 rescuer_thread      0 S [msm_cci_wq]
root           327     2       0      0 rescuer_thread      0 S [msm_cci_wq]
root           328     2       0      0 rescuer_thread      0 S [msm_cpp_workque]
root           329     2       0      0 kthread_worker_fn   0 S [msm_vidc_worker]
root           330     2       0      0 rescuer_thread      0 S [pm_workerq_venu]
root           331     2       0      0 irq_thread          0 S [irq/111-arm-smm]
root           332     2       0      0 irq_thread          0 S [irq/112-arm-smm]
root           333     2       0      0 irq_thread          0 S [irq/113-arm-smm]
root           334     2       0      0 irq_thread          0 S [irq/114-arm-smm]
root           335     2       0      0 kthread_worker_fn   0 S [rot_commitq_0_0]
root           336     2       0      0 kthread_worker_fn   0 S [rot_commitq_0_1]
root           337     2       0      0 kthread_worker_fn   0 S [rot_doneq_0_0]
root           338     2       0      0 kthread_worker_fn   0 S [rot_doneq_0_1]
root           339     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           342     2       0      0 worker_thread       0 S [kworker/4:4]
root           343     2       0      0 worker_thread       0 S [kworker/4:5]
root           346     2       0      0 rescuer_thread      0 S [bioset]
root           349     2       0      0 rescuer_thread      0 S [bioset]
root           350     2       0      0 worker_thread       0 S [kworker/0:1H]
root           351     2       0      0 rescuer_thread      0 S [bioset]
root           353     2       0      0 rescuer_thread      0 S [bioset]
root           355     2       0      0 rescuer_thread      0 S [bioset]
root           356     2       0      0 rescuer_thread      0 S [bioset]
root           357     2       0      0 rescuer_thread      0 S [bioset]
root           358     2       0      0 rescuer_thread      0 S [bioset]
root           359     2       0      0 rescuer_thread      0 S [bioset]
root           361     2       0      0 diag_socket_read    0 S [kworker/u16:6]
root           365     2       0      0 worker_thread       0 S [kworker/6:1]
root           366     2       0      0 worker_thread       0 S [kworker/7:1]
root           367     2       0      0 irq_thread          0 S [irq/450-chg-err]
root           368     2       0      0 irq_thread          0 S [irq/451-chg-sta]
root           369     2       0      0 irq_thread          0 S [irq/455-otg-fai]
root           370     2       0      0 irq_thread          0 S [irq/456-otg-ove]
root           371     2       0      0 irq_thread          0 S [irq/457-otg-oc-]
root           372     2       0      0 irq_thread          0 S [irq/458-testmod]
root           373     2       0      0 irq_thread          0 S [irq/459-bat-tem]
root           374     2       0      0 irq_thread          0 S [irq/460-bat-ocp]
root           375     2       0      0 irq_thread          0 S [irq/461-bat-ov]
root           376     2       0      0 irq_thread          0 S [irq/462-bat-low]
root           377     2       0      0 irq_thread          0 S [irq/463-bat-the]
root           378     2       0      0 irq_thread          0 S [irq/464-bat-ter]
root           379     2       0      0 irq_thread          0 S [irq/465-usbin-c]
root           380     2       0      0 irq_thread          0 S [irq/466-usbin-l]
root           381     2       0      0 irq_thread          0 S [irq/467-usbin-u]
root           382     2       0      0 irq_thread          0 S [irq/468-usbin-o]
root           383     2       0      0 irq_thread          0 S [irq/469-usbin-p]
root           384     2       0      0 irq_thread          0 S [irq/470-usbin-s]
root           385     2       0      0 irq_thread          0 S [irq/471-usbin-i]
root           386     2       0      0 irq_thread          0 S [irq/472-type-c-]
root           387     2       0      0 irq_thread          0 S [irq/473-dcin-co]
root           388     2       0      0 irq_thread          0 S [irq/474-dcin-lt]
root           389     2       0      0 irq_thread          0 S [irq/475-dcin-uv]
root           390     2       0      0 irq_thread          0 S [irq/476-dcin-ov]
