#t[ns],wx,wy,wz,ax,ay,az
1420030827000,-2.58113573,-2.07300446,-0.272707679,-9.18176337,0.615309827,-2.70544788
1420031833000,-2.58646205,-2.07726552,-0.273772943,-9.19852278,0.644040247,-2.68150586
1420032839000,-2.59285364,-2.07939605,-0.274838208,-9.20570538,0.656011255,-2.64319863
1420033846000,-2.59604943,-2.08152657,-0.274838208,-9.2344358,0.63446344,-2.5953146
1420034852000,-2.60031049,-2.0836571,-0.274838208,-9.25358942,0.651222852,-2.6024972
1420035858000,-2.60563681,-2.08578763,-0.276968737,-9.25598362,0.644040247,-2.62165082
1420036864000,-2.61096313,-2.08898343,-0.279099266,-9.26556042,0.63446344,-2.5929204
1420037870000,-2.61735472,-2.09111395,-0.280164547,-9.27034883,0.617704028,-2.55221897
1420038876000,-2.62374631,-2.09217922,-0.280164547,-9.23683,0.615309827,-2.53067115
1420039882000,-2.62907263,-2.09111395,-0.282295076,-9.19134017,0.644040247,-2.53067115
1420040889000,-2.63439895,-2.09324448,-0.284425604,-9.19612858,0.670376465,-2.52827695
1420041895000,-2.63972527,-2.09430975,-0.285490869,-9.20809958,0.70628949,-2.50433494
1420042901000,-2.64398633,-2.09537501,-0.286556133,-9.17458076,0.727837305,-2.52109435
1420043907000,-2.64824739,-2.09750554,-0.287621398,-9.12909093,0.744596716,-2.52588275
1420044913000,-2.65463897,-2.09857081,-0.287621398,-9.10036051,0.744596716,-2.50672914
1420045919000,-2.6599653,-2.09750554,-0.287621398,-9.11233152,0.730231506,-2.52827695
1420046925000,-2.66635688,-2.09750554,-0.289751927,-9.09796631,0.742202515,-2.51870015
1420047932000,-2.67274847,-2.09857081,-0.289751927,-9.04529387,0.775721338,-2.50433494
1420048938000,-2.67807479,-2.09857081,-0.289751927,-9.02374606,0.782903943,-2.49715233
1420049944000,-2.68233585,-2.09750554,-0.288686662,-9.00219824,0.782903943,-2.50194073
1420050950000,-2.68872744,-2.09537501,-0.289751927,-8.99980404,0.806845959,-2.50194073
1420051956000,-2.69405376,-2.09217922,-0.289751927,-8.97586202,0.842758984,-2.48518132
1420052962000,-2.70044535,-2.09111395,-0.288686662,-8.92558379,0.871489404,-2.4588451
1420053969000,-2.70364114,-2.09004869,-0.287621398,-8.89924757,0.871489404,-2.4492683
1420054975000,-2.70683693,-2.09004869,-0.288686662,-8.89924757,0.883460413,-2.4540567
1420055981000,-2.71216325,-2.0868529,-0.287621398,-8.85615194,0.897825623,-2.46363351
1420056987000,-2.71748958,-2.0836571,-0.285490869,-8.7915085,0.909796631,-2.47321031
1420057993000,-2.72175063,-2.08152657,-0.285490869,-8.74362446,0.928950244,-2.48278712
1420058999000,-2.72494643,-2.07833078,-0.285490869,-8.71728824,0.936132849,-2.48757552
1420060005000,-2.72707696,-2.07406972,-0.284425604,-8.72686505,0.984016882,-2.49475813
1420061012000,-2.73133801,-2.06980867,-0.282295076,-8.69574043,1.0151415,-2.50433494
1420062018000,-2.7377296,-2.06661287,-0.281229811,-8.655039,1.0103531,-2.51870015
1420063024000,-2.74092539,-2.06341708,-0.280164547,-8.62630858,1.03908352,-2.54024796
1420064030000,-2.74199066,-2.05809076,-0.280164547,-8.59997236,1.05105453,-2.54264216
1420065036000,-2.74305592,-2.05276444,-0.276968737,-8.58560715,1.04147772,-2.55700737
1420066042000,-2.74518645,-2.04743811,-0.274838208,-8.56645354,1.02232411,-2.58813199
1420067048000,-2.74731698,-2.04211179,-0.273772943,-8.53772312,1.01992991,-2.5929204
1420068055000,-2.75051277,-2.0357202,-0.272707679,-8.5018101,1.03190092,-2.61207401
1420069061000,-2.7526433,-2.03039388,-0.269511886,-8.47786808,1.03908352,-2.67432325
1420070067000,-2.75477383,-2.0240023,-0.269511886,-8.44195505,1.07978495,-2.68629426
1420071073000,-2.75796962,-2.01761071,-0.268446621,-8.39885942,1.07739075,-2.66714065
1420072079000,-2.75903489,-2.01121912,-0.265250828,-8.40364783,1.06063134,-2.65756384
1420073085000,-2.76010015,-2.00376227,-0.263120299,-8.41083043,1.05344873,-2.67432325
1420074092000,-2.76223068,-1.99524016,-0.26098977,-8.37970581,1.05584293,-2.70544788
1420075098000,-2.76436121,-1.98671804,-0.258859241,-8.3629464,1.07978495,-2.72220729
1420076104000,-2.76649174,-1.97819592,-0.256728712,-8.33661018,1.08457335,-2.72699569
1420077110000,-2.76968753,-1.96967381,-0.255663448,-8.31027396,1.10851537,-2.72460149
1420078116000,-2.7707528,-1.95902116,-0.253532919,-8.31506237,1.12527478,-2.72460149
1420079122000,-2.77181806,-1.95049905,-0.252467655,-8.31506237,1.12527478,-2.71741888
1420080128000,-2.77394859,-1.9430422,-0.25140239,-8.30548556,1.13724579,-2.72699569
1420081135000,-2.77714438,-1.93345482,-0.248206597,-8.25760153,1.14442839,-2.7437551
1420082141000,-2.77927491,-1.9249327,-0.245010804,-8.2240827,1.13485159,-2.77009132
1420083147000,-2.78140544,-1.91534532,-0.242880275,-8.24323632,1.11809218,-2.75812031
1420084153000,-2.78140544,-1.90469268,-0.24181501,-8.24323632,1.12288058,-2.75812031
1420085159000,-2.78353597,-1.89297477,-0.239684481,-8.2192943,1.13006318,-2.77727393
1420086165000,-2.78460124,-1.88232213,-0.236488688,-8.19535228,1.12048638,-2.76769712
1420087171000,-2.78673176,-1.87060422,-0.234358159,-8.16662186,1.11330377,-2.77487972
1420088178000,-2.78673176,-1.86101684,-0.23222763,-8.17141027,1.11090957,-2.78445653
1420089184000,-2.78673176,-1.85036419,-0.229031837,-8.15943926,1.12048638,-2.80600435
1420090190000,-2.78673176,-1.83864628,-0.226901308,-8.13549724,1.12766898,-2.77966813
1420091196000,-2.78779703,-1.82479785,-0.223705515,-8.14028564,1.09175596,-2.7413609
1420092202000,-2.78992756,-1.81094941,-0.220509722,-8.11634363,1.06781394,-2.72460149
1420093208000,-2.79099282,-1.79710097,-0.218379193,-8.09479581,1.08217915,-2.68868846
1420094214000,-2.78992756,-1.78538306,-0.216248664,-8.11155522,1.05105453,-2.68390006
1420095221000,-2.78992756,-1.77473042,-0.213052871,-8.09479581,1.04866033,-2.66953485
1420096227000,-2.79099282,-1.76194724,-0.210922342,-8.0756422,1.05344873,-2.62404502
1420097233000,-2.79312335,-1.74809881,-0.206661284,-8.0756422,1.02711251,-2.5977088
1420098239000,-2.79312335,-1.73425037,-0.202400226,-8.06845959,1.0079589,-2.58094939
1420099245000,-2.79312335,-1.7214672,-0.201334962,-8.073248,1.0151415,-2.54982477
1420100251000,-2.79418862,-1.70761876,-0.199204433,-8.06845959,1.03429512,-2.51630594
1420101258000,-2.79631914,-1.69483558,-0.198139168,-8.08521901,1.0103531,-2.49715233
1420102264000,-2.79631914,-1.68205241,-0.19600864,-8.06845959,0.993593689,-2.4588451
1420103270000,-2.79844967,-1.66926924,-0.191747582,-8.03733497,0.969651672,-2.40856687
1420104276000,-2.79951494,-1.6554208,-0.187486524,-8.05170018,0.948103857,-2.37744225
1420105282000,-2.8005802,-1.64157236,-0.18642126,-8.05409438,0.945709656,-2.33195242
1420106288000,-2.80271073,-1.62878919,-0.18642126,-8.04930598,0.928950244,-2.27927998
1420107294000,-2.80484099,-1.61707128,-0.185355995,-8.06845959,0.924161841,-2.24815536
1420108301000,-2.80484099,-1.60428811,-0.184290731,-8.06845959,0.926556042,-2.22421334
1420109307000,-2.80590626,-1.59150493,-0.183225466,-8.04930598,0.936132849,-2.17872351
1420110313000,-2.80590626,-1.57872176,-0.182160202,-8.06367119,0.900219824,-2.08534965
1420111319000,-2.80803679,-1.56700385,-0.181094937,-8.073248,0.849941589,-2.0231004
1420112325000,-2.80910205,-1.55528594,-0.177899144,-8.11873783,0.866701001,-1.97521637
1420113331000,-2.81123258,-1.54356803,-0.17683388,-8.16662186,0.888248816,-1.90817872
1420114337000,-2.81442837,-1.53185013,-0.175768615,-8.15225665,0.888248816,-1.85550629
1420115344000,-2.81762417,-1.52119748,-0.175768615,-8.15465085,0.885854614,-1.78368024
1420116350000,-2.81868943,-1.51054484,-0.175768615,-8.16901606,0.861912598,-1.71424839
1420117356000,-2.82081996,-1.50202272,-0.175768615,-8.18098707,0.833182178,-1.65199915
1420118362000,-2.82295049,-1.49456587,-0.174703368,-8.2264769,0.811634363,-1.59932671
1420119368000,-2.82614628,-1.48604376,-0.173638103,-8.25520732,0.799663354,-1.54904847
1420120374000,-2.82934208,-1.47645638,-0.172572839,-8.24802472,0.775721338,-1.49637604
1420121381000,-2.83360313,-1.46580373,-0.173638103,-8.25999573,0.742202515,-1.42933839
1420122387000,-2.83786419,-1.45728162,-0.174703368,-8.28633195,0.746990918,-1.35511814
1420123393000,-2.84105998,-1.45089003,-0.174703368,-8.29351455,0.74938512,-1.31681091
1420124399000,-2.84212525,-1.44449844,-0.174703368,-8.30069716,0.744596716,-1.28089789
1420125405000,-2.84532104,-1.43917212,-0.17683388,-8.31506237,0.718260498,-1.22583125
1420126411000,-2.84851684,-1.43278053,-0.178964409,-8.33421598,0.708683691,-1.1563994
1420127417000,-2.85277789,-1.42638895,-0.180029673,-8.3629464,0.711077893,-1.09175596
1420128424000,-2.85597369,-1.41999736,-0.181094937,-8.3677348,0.679953271,-1.07499655
1420129430000,-2.85916948,-1.41360577,-0.182160202,-8.37491741,0.672770667,-1.02950671
1420130436000,-2.86130001,-1.41040998,-0.183225466,-8.40125363,0.689530078,-0.957680664
1420131442000,-2.86343054,-1.40721419,-0.184290731,-8.39407102,0.713472095,-0.924161841
1420132448000,-2.86556107,-1.40295313,-0.184290731,-8.39885942,0.718260498,-0.907402429
1420133454000,-2.8676916,-1.39656168,-0.185355995,-8.43716665,0.715866296,-0.902614026
1420134460000,-2.86982212,-1.39017009,-0.18642126,-8.42280144,0.73501991,-0.883460413
1420135467000,-2.87195265,-1.3837785,-0.187486524,-8.40604203,0.715866296,-0.847547388
1420136473000,-2.87408318,-1.37845218,-0.188551789,-8.40843623,0.67755907,-0.816422766
1420137479000,-2.87621371,-1.37419112,-0.188551789,-8.41801304,0.653617053,-0.770932935
1420138485000,-2.87834424,-1.36993006,-0.189617053,-8.41561884,0.651222852,-0.758961926
1420139491000,-2.88154003,-1.36566901,-0.189617053,-8.37491741,0.629675037,-0.780509741
1420140497000,-2.88473583,-1.36034268,-0.189617053,-8.358158,0.600944617,-0.761356128
1420141503000,-2.88686636,-1.35608163,-0.190682317,-8.34379279,0.59136781,-0.739808313
1420142510000,-2.88793162,-1.3507553,-0.190682317,-8.32224497,0.581791003,-0.711077893
1420143516000,-2.89006215,-1.34223319,-0.189617053,-8.28872615,0.584185205,-0.689530078
1420144522000,-2.89219268,-1.33477634,-0.188551789,-8.25760153,0.560243188,-0.684741675
1420145528000,-2.89432321,-1.32838475,-0.189617053,-8.25281312,0.545877979,-0.696712683
1420146534000,-2.89432321,-1.32199317,-0.190682317,-8.23844791,0.56263739,-0.696712683
1420147540000,-2.89645374,-1.31347105,-0.191747582,-8.2192943,0.569819995,-0.682347473
1420148547000,-2.897519,-1.30494893,-0.189617053,-8.19056388,0.536301172,-0.672770667
1420149553000,-2.89964953,-1.29749208,-0.188551789,-8.15704506,0.531512769,-0.636857642
