#t[ns],wx,wy,wz,ax,ay,az
43443429223265,-3.30871107,-0.271642415,-2.04424232,-5.37019432,-4.31674559,0.160411511
43443430212485,-3.30231949,-0.255663448,-2.01228439,-5.46596239,-4.4699745,0.107739075
43443431200722,-3.29805843,-0.239684481,-1.98245698,-5.45399138,-4.55616576,0.0359130249
43443432188959,-3.29486263,-0.224770779,-1.95262958,-5.50187542,-4.65672223,0.0167594116
43443433177197,-3.28953631,-0.210922342,-1.92386744,-5.59285508,-4.77164391,-0.0263362183
43443434165434,-3.28314473,-0.19600864,-1.89830109,-5.69580575,-4.86022937,-0.119710083
43443435153671,-3.27462261,-0.182160202,-1.87380001,-5.7676318,-4.97993945,-0.208295544
43443436142891,-3.26396997,-0.169377045,-1.84929893,-5.7652376,-5.06134231,-0.239420166
43443437131128,-3.25118679,-0.159789665,-1.82586311,-5.76044919,-5.15711038,-0.294486804
43443438119365,-3.23733835,-0.149137021,-1.80136203,-5.74368978,-5.30315668,-0.366312854
43443439107602,-3.22242465,-0.138484368,-1.77792621,-5.81551583,-5.44920298,-0.486022937
43443440095840,-3.20964148,-0.127831724,-1.75449039,-5.81791003,-5.56173046,-0.588973608
43443441084077,-3.19366251,-0.116113815,-1.73211984,-5.77960281,-5.70777676,-0.612915625
43443442073297,-3.17555302,-0.104395906,-1.71081455,-5.73650718,-5.78439121,-0.567425793
43443443061534,-3.15850879,-0.0916127332,-1.688444,-5.66707533,-5.81791003,-0.545877979
43443444049771,-3.14252982,-0.0766990394,-1.66607344,-5.6191913,-5.9064955,-0.579396802
43443445038008,-3.12442032,-0.0649811264,-1.64263763,-5.59764348,-6.00465776,-0.600944617
43443446026246,-3.10737609,-0.0521979532,-1.61707128,-5.6263739,-6.13633885,-0.545877979
43443447014483,-3.09139713,-0.0404800486,-1.5925702,-5.67425793,-6.32308658,-0.495599744
43443448003702,-3.07541816,-0.0276968733,-1.56913438,-5.69580575,-6.46913289,-0.50517655
43443448991940,-3.06050446,-0.0138484366,-1.54569856,-5.65989272,-6.55053574,-0.572214197
43443449980177,-3.04559076,-0.00319579305,-1.52119748,-5.53300004,-6.52419952,-0.718260498
43443450968414,-3.02854653,0.00852211497,-1.4966964,-5.46117399,-6.50983431,-0.830787976
43443451956651,-3.0083065,0.0202400243,-1.46899952,-5.4755392,-6.67503423,-0.821211169
43443452944889,-2.98806648,0.0330231954,-1.43810686,-5.47075079,-6.80910952,-0.715866296
43443453934108,-2.96889172,0.0447411022,-1.40614892,-5.41807836,-6.80910952,-0.553060583
43443454922346,-2.95291275,0.0553937465,-1.37738692,-5.41807836,-6.84981095,-0.538695374
43443455910583,-2.93693378,0.0671116553,-1.3507553,-5.44202037,-6.98388624,-0.567425793
43443456898820,-2.92202008,0.0777643038,-1.32305843,-5.44202037,-7.09401952,-0.49081134
43443457887057,-2.90604112,0.0862864193,-1.29536155,-5.51863483,-7.18499918,-0.488417139
43443458875295,-2.89006215,0.093743262,-1.26872994,-5.49469281,-7.23767162,-0.502782349
43443459864514,-2.87514845,0.102265378,-1.24103307,-5.4803276,-7.32865128,-0.50517655
43443460852751,-2.85916948,0.108656964,-1.21227093,-5.53539424,-7.47469758,-0.497993945
43443461840989,-2.84212525,0.113983286,-1.18563932,-5.58567247,-7.59919607,-0.541089575
43443462829226,-2.82401575,0.120374873,-1.16007297,-5.60243188,-7.66623372,-0.574608398
