# t_mono tid fd path ioctl_name code dir size ret payload_hex
231718.146254765 594 24 /dev/media3 MEDIA_IOC_DEVICE_INFO 0xc1007c00 3 256 0 6f63756c75732c63616d6572610000006d736d5f63616d6572610000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
231718.146392473 594 24 /dev/media3 MEDIA_IOC_ENUM_ENTITIES 0xc1007c01 3 256 0 01000000766964656f35000000000000000000000000000000000000000000000000000001000100000000000000000002000000000000000000000000000000000000000000000051000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
231718.146558567 594 24 /dev/media4 MEDIA_IOC_DEVICE_INFO 0xc1007c00 3 256 0 6f63756c75732c63616d6572610000006d736d5f63616d6572610000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
231718.146697994 594 24 /dev/media4 MEDIA_IOC_ENUM_ENTITIES 0xc1007c01 3 256 0 01000000766964656f36000000000000000000000000000000000000000000000000000001000100000000000000000002000000000000000000000000000000000000000000000051000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
231718.147061275 594 24 /dev/media0 MEDIA_IOC_DEVICE_INFO 0xc1007c00 3 256 0 6d736d000000000000000000000000006d736d5f636f6e6669670000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
231718.147334452 594 24 /dev/media0 MEDIA_IOC_ENUM_ENTITIES 0xc1007c01 3 256 0 01000000766964656f30000000000000000000000000000000000000000000000000000001000100000000000000000002000000000000000000000000000000000000000000000051000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
231718.147481380 594 24 /dev/media0 MEDIA_IOC_ENUM_ENTITIES 0xc1007c01 3 256 0 020000006d736d5f6363690000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
231718.147639192 594 24 /dev/media0 MEDIA_IOC_ENUM_ENTITIES 0xc1007c01 3 256 0 0300000076346c2d7375626465763000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000000051000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
231718.147794765 594 25 /dev/v4l-subdev0 VIDIOC_MSM_SENSOR_GET_SUBDEV_ID 0xc00456c3 3 4 0 00000000
231718.147859817 594 24 /dev/media0 MEDIA_IOC_DEVICE_INFO 0xc1007c00 3 256 0 6d736d000000000000000000000000006d736d5f636f6e6669670000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
231718.148000546 594 24 /dev/media0 MEDIA_IOC_ENUM_ENTITIES 0xc1007c01 3 256 0 01000000766964656f30000000000000000000000000000000000000000000000000000001000100000000000000000002000000000000000000000000000000000000000000000051000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
231718.148244348 594 24 /dev/media0 MEDIA_IOC_ENUM_ENTITIES 0xc1007c01 3 256 0 020000006d736d5f6363690000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
231718.148425494 594 24 /dev/media0 MEDIA_IOC_ENUM_ENTITIES 0xc1007c01 3 256 0 0300000076346c2d7375626465763000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000000051000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
231718.148568098 594 24 /dev/media0 MEDIA_IOC_ENUM_ENTITIES 0xc1007c01 3 256 0 0400000076346c2d7375626465763100000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000000051000000810000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
231718.148707369 594 24 /dev/media0 MEDIA_IOC_ENUM_ENTITIES 0xc1007c01 3 256 0 0500000076346c2d7375626465763200000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000000051000000820000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
231718.148847057 594 24 /dev/media0 MEDIA_IOC_ENUM_ENTITIES 0xc1007c01 3 256 0 0600000076346c2d7375626465763300000000000000000000000000000000000000000000000200000000000000000001000000000000000000000000000000000000000000000051000000830000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
231718.148999661 594 25 /dev/v4l-subdev3 VIDIOC_MSM_SENSOR_GET_SUBDEV_ID 0xc00456c3 3 4 0 00000000
