#seq,cam,ts_ns,file
334,2,173358538300000,c2_000334.gray
335,0,173358538304000,c0_000335.gray
339,0,173358557299000,c0_000339.gray
339,2,173358557302000,c2_000339.gray
341,0,173358571638000,c0_000341.gray
341,2,173358571635000,c2_000341.gray
345,2,173358590633000,c2_000345.gray
346,0,173358590630000,c0_000346.gray
348,0,173358604971000,c0_000348.gray
348,2,173358604968000,c2_000348.gray
352,0,173358623965000,c0_000352.gray
352,2,173358623969000,c2_000352.gray
354,2,173358638300000,c2_000354.gray
355,0,173358638298000,c0_000355.gray
359,0,173358657299000,c0_000359.gray
359,2,173358657301000,c2_000359.gray
361,0,173358671632000,c0_000361.gray
361,2,173358671634000,c2_000361.gray
365,0,173358690633000,c0_000365.gray
365,2,173358690631000,c2_000365.gray
367,0,173358704972000,c0_000367.gray
367,2,173358704970000,c2_000367.gray
372,0,173358724010000,c0_000372.gray
372,2,173358724015000,c2_000372.gray
374,0,173358738306000,c0_000374.gray
374,2,173358738303000,c2_000374.gray
378,0,173358757295000,c0_000378.gray
378,2,173358757299000,c2_000378.gray
380,0,173358771633000,c0_000380.gray
380,2,173358771630000,c2_000380.gray
383,0,173358790632000,c0_000383.gray
383,2,173358790626000,c2_000383.gray
386,0,173358804971000,c0_000386.gray
386,2,173358804974000,c2_000386.gray
390,0,173358823968000,c0_000390.gray
390,2,173358823966000,c2_000390.gray
392,0,173358838307000,c0_000392.gray
392,2,173358838304000,c2_000392.gray
396,0,173358857298000,c0_000396.gray
396,2,173358857295000,c2_000396.gray
398,0,173358871636000,c0_000398.gray
398,2,173358871633000,c2_000398.gray
402,0,173358890690000,c0_000402.gray
402,2,173358890628000,c2_000402.gray
403,0,173358904971000,c0_000403.gray
403,2,173358904968000,c2_000403.gray
407,0,173358923968000,c0_000407.gray
407,2,173358923965000,c2_000407.gray
409,0,173358938306000,c0_000409.gray
409,2,173358938309000,c2_000409.gray
413,0,173358957300000,c0_000413.gray
413,2,173358957307000,c2_000413.gray
414,2,173358971641000,c2_000414.gray
415,0,173358971638000,c0_000415.gray
419,0,173358990636000,c0_000419.gray
419,2,173358990642000,c2_000419.gray
421,0,173359004972000,c0_000421.gray
421,2,173359004974000,c2_000421.gray
425,0,173359023962000,c0_000425.gray
425,2,173359023965000,c2_000425.gray
427,0,173359038300000,c0_000427.gray
427,2,173359038303000,c2_000427.gray
431,2,173359057297000,c2_000431.gray
432,0,173359057294000,c0_000432.gray
434,0,173359071637000,c0_000434.gray
434,2,173359071640000,c2_000434.gray
438,0,173359090629000,c0_000438.gray
438,2,173359090651000,c2_000438.gray
440,0,173359104971000,c0_000440.gray
440,2,173359104973000,c2_000440.gray
444,0,173359123965000,c0_000444.gray
444,2,173359123968000,c2_000444.gray
446,2,173359138339000,c2_000446.gray
447,0,173359138299000,c0_000447.gray
451,0,173359157295000,c0_000451.gray
451,2,173359157299000,c2_000451.gray
453,0,173359171636000,c0_000453.gray
453,2,173359171639000,c2_000453.gray
457,0,173359190631000,c0_000457.gray
457,2,173359190638000,c2_000457.gray
459,0,173359204972000,c0_000459.gray
459,2,173359204975000,c2_000459.gray
464,0,173359223971000,c0_000464.gray
464,2,173359223969000,c2_000464.gray
466,0,173359238304000,c0_000466.gray
466,2,173359238302000,c2_000466.gray
470,0,173359257300000,c0_000470.gray
470,2,173359257303000,c2_000470.gray
472,0,173359271637000,c0_000472.gray
472,2,173359271640000,c2_000472.gray
476,0,173359290630000,c0_000476.gray
476,2,173359290642000,c2_000476.gray
479,0,173359304970000,c0_000479.gray
479,2,173359304967000,c2_000479.gray
483,0,173359323963000,c0_000483.gray
483,2,173359323967000,c2_000483.gray
485,0,173359338309000,c0_000485.gray
485,2,173359338311000,c2_000485.gray
489,0,173359357302000,c0_000489.gray
489,2,173359357300000,c2_000489.gray
492,0,173359371642000,c0_000492.gray
492,2,173359371639000,c2_000492.gray
496,0,173359390633000,c0_000496.gray
496,2,173359390630000,c2_000496.gray
498,0,173359404975000,c0_000498.gray
498,2,173359405005000,c2_000498.gray
502,0,173359423966000,c0_000502.gray
502,2,173359423968000,c2_000502.gray
505,0,173359438308000,c0_000505.gray
505,2,173359438322000,c2_000505.gray
509,0,173359457302000,c0_000509.gray
509,2,173359457305000,c2_000509.gray
511,0,173359471642000,c0_000511.gray
511,2,173359471645000,c2_000511.gray
515,0,173359490640000,c0_000515.gray
515,2,173359490645000,c2_000515.gray
518,0,173359504972000,c0_000518.gray
518,2,173359504969000,c2_000518.gray
521,0,173359523970000,c0_000521.gray
521,2,173359523972000,c2_000521.gray
524,0,173359538308000,c0_000524.gray
524,2,173359538310000,c2_000524.gray
528,0,173359557306000,c0_000528.gray
528,2,173359557309000,c2_000528.gray
530,0,173359571642000,c0_000530.gray
530,2,173359571644000,c2_000530.gray
534,0,173359590635000,c0_000534.gray
534,2,173359590631000,c2_000534.gray
536,0,173359605004000,c0_000536.gray
536,2,173359604983000,c2_000536.gray
541,0,173359623973000,c0_000541.gray
541,2,173359623969000,c2_000541.gray
543,0,173359638303000,c0_000543.gray
543,2,173359638309000,c2_000543.gray
547,0,173359657306000,c0_000547.gray
547,2,173359657303000,c2_000547.gray
549,0,173359671639000,c0_000549.gray
549,2,173359671641000,c2_000549.gray
554,0,173359690682000,c0_000554.gray
554,2,173359690637000,c2_000554.gray
556,0,173359704993000,c0_000556.gray
556,2,173359704977000,c2_000556.gray
560,0,173359723968000,c0_000560.gray
560,2,173359723971000,c2_000560.gray
562,0,173359738312000,c0_000562.gray
562,2,173359738309000,c2_000562.gray
566,0,173359757305000,c0_000566.gray
566,2,173359757308000,c2_000566.gray
571,0,173359771628000,c0_000571.gray
571,2,173359771644000,c2_000571.gray
579,0,173359790631000,c0_000579.gray
579,2,173359790656000,c2_000579.gray
583,0,173359804976000,c0_000583.gray
583,2,173359805013000,c2_000583.gray
587,0,173359823972000,c0_000587.gray
587,2,173359824010000,c2_000587.gray
589,0,173359838305000,c0_000589.gray
589,2,173359838329000,c2_000589.gray
593,0,173359857302000,c0_000593.gray
593,2,173359857327000,c2_000593.gray
595,0,173359871643000,c0_000595.gray
595,2,173359871679000,c2_000595.gray
599,0,173359890632000,c0_000599.gray
599,2,173359890658000,c2_000599.gray
601,0,173359904972000,c0_000601.gray
601,2,173359904997000,c2_000601.gray
604,0,173359923971000,c0_000604.gray
604,2,173359924007000,c2_000604.gray
606,0,173359938312000,c0_000606.gray
606,2,173359938348000,c2_000606.gray
610,0,173359957306000,c0_000610.gray
610,2,173359957340000,c2_000610.gray
612,0,173359971641000,c0_000612.gray
612,2,173359971669000,c2_000612.gray
615,2,173359990674000,c2_000615.gray
616,0,173359990645000,c0_000616.gray
618,0,173360004966000,c0_000618.gray
618,2,173360004983000,c2_000618.gray
626,0,173360023959000,c0_000626.gray
626,2,173360023976000,c2_000626.gray
632,0,173360038294000,c0_000632.gray
632,2,173360038310000,c2_000632.gray
640,0,173360057297000,c0_000640.gray
640,2,173360057314000,c2_000640.gray
645,0,173360071634000,c0_000645.gray
645,2,173360071651000,c2_000645.gray
653,0,173360090626000,c0_000653.gray
653,2,173360090645000,c2_000653.gray
658,0,173360105078000,c0_000658.gray
658,2,173360105098000,c2_000658.gray
664,0,173360124278000,c0_000664.gray
664,2,173360124306000,c2_000664.gray
666,0,173360138330000,c0_000666.gray
666,2,173360138357000,c2_000666.gray
670,0,173360157303000,c0_000670.gray
670,2,173360157325000,c2_000670.gray
675,0,173360171636000,c0_000675.gray
675,2,173360171646000,c2_000675.gray
683,0,173360190624000,c0_000683.gray
683,2,173360190633000,c2_000683.gray
689,0,173360204962000,c0_000689.gray
689,2,173360204976000,c2_000689.gray
697,0,173360223961000,c0_000697.gray
697,2,173360223976000,c2_000697.gray
703,0,173360238299000,c0_000703.gray
703,2,173360238313000,c2_000703.gray
711,0,173360257292000,c0_000711.gray
711,2,173360257307000,c2_000711.gray
717,0,173360271630000,c0_000717.gray
717,2,173360271646000,c2_000717.gray
725,0,173360290680000,c0_000725.gray
725,2,173360290704000,c2_000725.gray
728,0,173360304979000,c0_000728.gray
728,2,173360305013000,c2_000728.gray
735,0,173360323971000,c0_000735.gray
735,2,173360323996000,c2_000735.gray
736,0,173360338327000,c0_000736.gray
736,2,173360338354000,c2_000736.gray
740,0,173360357299000,c0_000740.gray
740,2,173360357322000,c2_000740.gray
745,0,173360371641000,c0_000745.gray
745,2,173360371653000,c2_000745.gray
753,0,173360390627000,c0_000753.gray
753,2,173360390637000,c2_000753.gray
